T,rule,lam,bits,rounding,scale,seed,recalled,age50,fidelity,write_lsb,saturated_frac,unchanged_frac
512,hebbian,0.995,4,stochastic,dynamic,1,57.34,14,0.1032,0.0541,0.0002,0.9420
512,hebbian,0.997,32,,,1,349.56,346,0.4006,nan,0.0000,0.0000
512,hebbian,0.997,bf16,,,1,349.41,346,0.4005,nan,0.0000,0.0553
512,hebbian,0.997,8,nearest,static,1,368.12,353,0.4057,1.1748,0.0000,0.4173
512,hebbian,0.997,8,nearest,dynamic,1,348.72,343,0.3988,2.0023,0.0001,0.2730
512,hebbian,0.997,8,stochastic,static,1,345.84,343,0.3935,1.1748,0.0000,0.3854
512,hebbian,0.997,8,stochastic,dynamic,1,347.94,343,0.3964,1.9971,0.0001,0.2580
512,hebbian,0.997,4,nearest,static,1,58.44,0,0.1324,0.0648,0.0000,0.9978
512,hebbian,0.997,4,nearest,dynamic,1,69.97,0,0.0988,0.0549,0.0002,0.9879
512,hebbian,0.997,4,stochastic,static,1,129.66,87,0.1719,0.0648,0.0150,0.9349
512,hebbian,0.997,4,stochastic,dynamic,1,39.84,0,0.1041,0.0476,0.0002,0.9492
512,hebbian,0.998,32,,,1,409.00,418,0.4245,nan,0.0000,0.0000
512,hebbian,0.998,bf16,,,1,410.31,422,0.4250,nan,0.0000,0.0675
512,hebbian,0.998,8,nearest,static,1,420.66,446,0.4248,1.0404,0.0000,0.4493
512,hebbian,0.998,8,nearest,dynamic,1,407.78,417,0.4221,1.8540,0.0001,0.2944
512,hebbian,0.998,8,stochastic,static,1,403.75,417,0.4149,1.0404,0.0000,0.4142
512,hebbian,0.998,8,stochastic,dynamic,1,404.97,417,0.4192,1.8484,0.0001,0.2771
512,hebbian,0.998,4,nearest,static,1,39.44,0,0.1036,0.0573,0.0000,0.9989
512,hebbian,0.998,4,nearest,dynamic,1,67.44,0,0.0954,0.0517,0.0002,0.9883
512,hebbian,0.998,4,stochastic,static,1,114.72,58,0.1709,0.0573,0.0200,0.9427
512,hebbian,0.998,4,stochastic,dynamic,1,35.47,0,0.1040,0.0446,0.0002,0.9524
512,hebbian,0.999,32,,,1,459.91,512,0.4412,nan,0.0000,0.0000
512,hebbian,0.999,bf16,,,1,460.62,512,0.4414,nan,0.0000,0.0782
512,hebbian,0.999,8,nearest,static,1,462.09,512,0.4360,0.8770,0.0000,0.4961
512,hebbian,0.999,8,nearest,dynamic,1,458.44,512,0.4380,1.7034,0.0001,0.3206
512,hebbian,0.999,8,stochastic,static,1,453.53,512,0.4275,0.8770,0.0000,0.4558
512,hebbian,0.999,8,stochastic,dynamic,1,456.91,512,0.4344,1.6968,0.0001,0.3009
512,hebbian,0.999,4,nearest,static,1,22.50,0,0.0667,0.0483,0.0000,0.9997
512,hebbian,0.999,4,nearest,dynamic,1,62.97,0,0.0901,0.0494,0.0002,0.9888
512,hebbian,0.999,4,stochastic,static,1,91.38,0,0.1630,0.0483,0.0263,0.9521
512,hebbian,0.999,4,stochastic,dynamic,1,31.75,0,0.1046,0.0421,0.0002,0.9553
512,hebbian,1.0,32,,,1,478.59,512,0.4472,nan,0.0000,0.0000
