T,rule,lam,bits,rounding,scale,n_seeds,recalled_mean,recalled_std,age50_mean,age50_std,fidelity_mean,fidelity_std,write_lsb_mean,unchanged_frac_mean
512,delta,0.999,8,nearest,dynamic,3,152.70,0.72,136.0,1.6,0.2355,0.0003,2.8874,0.1989
512,delta,0.999,8,stochastic,static,3,151.86,1.19,137.0,0.8,0.2339,0.0003,1.8650,0.2937
512,delta,0.999,8,stochastic,dynamic,3,152.51,1.29,137.3,2.1,0.2347,0.0003,2.8843,0.1899
512,delta,0.999,4,nearest,static,3,132.73,0.80,107.7,2.6,0.1701,0.0017,0.1095,0.9772
512,delta,0.999,4,nearest,dynamic,3,58.72,0.86,0.0,0.0,0.1253,0.0015,0.1127,0.9707
512,delta,0.999,4,stochastic,static,3,78.00,0.47,65.3,1.2,0.1045,0.0009,0.1775,0.8267
512,delta,0.999,4,stochastic,dynamic,3,2.39,0.19,0.0,0.0,0.0032,0.0006,0.1101,0.8843
512,delta,1.0,32,,,3,161.20,1.34,144.7,2.5,0.2461,0.0002,nan,0.0000
512,delta,1.0,bf16,,,3,161.20,1.21,145.0,2.2,0.2460,0.0002,nan,0.0501
512,delta,1.0,8,nearest,static,3,161.11,1.07,144.3,2.1,0.2448,0.0003,1.7482,0.3283
512,delta,1.0,8,nearest,dynamic,3,161.05,0.92,144.7,1.9,0.2453,0.0003,2.7817,0.2061
512,delta,1.0,8,stochastic,static,3,160.08,0.49,144.0,2.8,0.2431,0.0004,1.7556,0.3057
512,delta,1.0,8,stochastic,dynamic,3,160.72,0.80,143.7,1.2,0.2443,0.0002,2.7799,0.1964
512,delta,1.0,4,nearest,static,3,123.74,3.34,98.3,3.7,0.1609,0.0022,0.0968,0.9848
512,delta,1.0,4,nearest,dynamic,3,56.31,0.96,0.0,0.0,0.1169,0.0013,0.1101,0.9724
512,delta,1.0,4,stochastic,static,3,72.85,0.67,59.0,1.4,0.0996,0.0012,0.1794,0.8256
512,delta,1.0,4,stochastic,dynamic,3,2.21,0.17,0.0,0.0,0.0019,0.0006,0.1097,0.8848
